Broad_Category,Sub_category,Platform,Threat,Link,Description
Adware,None,AndroidOS,Dilidi,https://threats.kaspersky.com/en/threat/Adware.AndroidOS.Dilidi/,"['These applications try to obtain superuser rights on a device and periodically connect to a server in order to download and stealthily install other applications. In addition, they monitor all applications installed on the device and send information about them to a server.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this adware']"
Adware,None,Win32,PurityScan,https://threats.kaspersky.com/en/threat/Adware.Win32.PurityScan/,"['This adware downloads and displays advertising banners, and also collects marketing information about the user and sends it to a server hard-coded in the body of the adware.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this\xa0adware']"
Bruteforce,None,Generic,Bruteforce.Generic.RDP,https://threats.kaspersky.com/en/threat/Bruteforce.Generic.RDP/,"['A Bruteforce attack is a method for guessing a password or an encryption key that involves systematically trying all possible combinations of characters until a correct one is found.  For long passwords, an alternative, called a dictionary attack, can be used; it has proved to be very effective against simple or suspected passwords. Unlike typical brute force, a dictionary attack uses a long list of popular or leaked passwords instead of generating a combination of letters and numbers.', 'A successful Bruteforce attack allows an attacker to obtain valid user credentials.', 'Remote Desktop Protocol (RDP) is Microsoft’s proprietary protocol, providing a user with a graphical interface to connect to another computer through a network. RDP is widely used by both system administrators and less-technical users to control servers and other PCs remotely.', 'A Bruteforce.Generic.RDP attack attempts to find a valid RDP login / password pair by systematically checking all possible passwords until the correct one is found. ', 'A successful Bruteforce.Generic.RDP attack allows an attacker to gain remote access to the targeted host computer.']"
Malware,Constructor,DOS,BWG,https://threats.kaspersky.com/en/threat/Constructor.DOS.BWG/,"['\nConstructor creates batch payload programs. It is written in Basic for DOS.', '\nIt creates payload programs of the following types:']"
Malware,Constructor,DOS,Dreg,https://threats.kaspersky.com/en/threat/Constructor.DOS.Dreg/,"['\nDREG (Digital Hackers’ Alliance Randomized Encryption Generator) is a virus', '\nconstructor. It creates virus source codes (ASM files), then runs TASM and', '\nTLINK to compile these source to executable files. DREG creates nonmemory', '\nresident encrypted COM viruses. They search for COM files in the current', '\ndirectory and write themselves to the end of files.', '\n', '\nWhile creating new viruses DREG uses several variants of code and adds', '\njunk instructions sequences. DREG also used several anti-heuristic tricks.', '\n', '\nThe DREG constructor has several bugs, as a result in some cases it creates', '\nbuggy viruses that may halt the system or corrupt the files while infecting', '\nthem.']"
Intrusion,None,Win,Intrusion.Win.MS17-010.*,https://threats.kaspersky.com/en/threat/Intrusion.Win.MS17-010.*/,"['Intrusion attacks attempt to exploit vulnerable or improperly configured applications, services, and operating systems remotely through a network to achieve arbitrary code execution and perform unauthorized network activity. ', 'A successful intrusion attack can result in remote code execution on the targeted hosts.', 'Server Message Block (SMB) is an application-layer network protocol that operates over TCP ports 139 and 445, which are widely used for file and printer sharing and remote services access.', 'An Intrusion.Win.MS17-010.* attack targets Windows computers and attempts to exploit SMB network vulnerabilities that were fixed in Microsoft Security Bulletin MS17-010 https://technet.microsoft.com/en-us/library/security/ms17-010.aspx. Successful exploitation of those vulnerabilities can result in remote code execution on target computers, which allows an attacker to load malware and propagate it to other vulnerable hosts on a network.', 'Successful exploitation can result in remote code execution on target computers, which allows an attacker to load malware and propagate it to other vulnerable hosts on a network.', 'Exploits targeting MS17-010 vulnerabilities were used in WannaCry and ExPetr ransomware attacks.']"
Intrusion,None,Win,Intrusion.Win.NETAPI.buffer-overflow.exploit,https://threats.kaspersky.com/en/threat/Intrusion.Win.NETAPI.buffer-overflow.exploit/,"['Intrusion attacks attempt to exploit vulnerable or improperly configured applications, services, and operating systems remotely through a network to achieve arbitrary code execution and perform unauthorized network activity. ', 'A successful intrusion attack can result in remote code execution on the targeted hosts.', 'An Intrusion.Win.NETAPI.buffer-overflow.exploit attack targets Windows computers and attempts to exploit a flaw in the path canonicalization parser of the Server Service NetAPI library through a specially crafted RPC request. An attack uses SMB as an underlying protocol to perform RPC requests; therefore, it operates over TCP ports 139 and 445. The NetAPI buffer overflow vulnerability was fixed in Microsoft Security Bulletin MS08-67 (https://technet.microsoft.com/en-us/library/security/ms08-067.aspx). ', 'Successful exploitation can result in remote code execution on target machines, which allows an attacker to load malware and propagate it to other vulnerable hosts on a network.', ' malware used a NetAPI buffer overflow exploit to spread on a network. ']"
Adware,None,Win32,ELEX,https://threats.kaspersky.com/en/threat/Adware.Win32.ELEX/,"['Adware of this family downloads other applications at URLs coded in the body of the adware. The adware often uses virus-like techniques to appear on the user’s computer in a hidden way. It also collects and transmits various marketing-related information about the user.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this\xa0adware']"
DangerousObject,None,Acad,EICAR-Test-File,https://threats.kaspersky.com/en/threat/DangerousObject.Acad.EICAR-Test-File/,"['EICAR is a short 68-byte COM file that is detected by anti-virus programs as a virus, but is actually NOT “VIRAL” at all. When executed it just displays a message and returns control to the host program.', '\nWhy is this harmless file detected as a virus? The file was created in order to demonstrate to users the messages and procedures that anti-virus programs display when a real virus is detected.', 'Some time ago researchers from several anti-virus companies were asked by users to develop a way to demonstrate what would happen in case of a real virus attack; a sort of simulation of which messages anti-virus programs will display and what actions will be recommended to perform, e.t.c.', 'After some time and thought toward how to best satisfy the request, the anti-virus researchers decided to release some virus-simulators that would be some harmless file that does nothing but display a message(s) and then exits to DOS (host OS). It was decided that this file could contain only ASCII characters so that users could type it or copy it from a User Guide. As a result the COM file looks as follows:', '\nDespite having only ASCII characters, this COM file is nonetheless a legitime computer program that does work under DOS or in a DOS window under Windows, OS/2 or any other OS that is able to run DOS programs. When run or executed this COM-file simply displays a text message and exits to DOS. The displayed message looks as follows:', '\nIt is as simple as that, though a lot of anti-virus programs detect it as a virus named EICAR-Test-File or something close to this.']"
Adware,None,Win32,OpenCandy,https://threats.kaspersky.com/en/threat/Adware.Win32.OpenCandy/,"['Adware of this family is installed on a PC during the process of installing other software. It can change the start page and install plug-ins for certain browsers. It also collects and transmits various marketing-related information about the user.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this adware']"
TrojWare,Backdoor,MSIL,Agent,https://threats.kaspersky.com/en/threat/Backdoor.MSIL.Agent/,"['Malware in this family enables cybercriminals to control infected computers remotely. These programs are used to create large groups of zombie computers, known as botnets, which are then exploited for malicious purposes without user knowledge. Criminals can use the infected computers to send spam, crack passwords on remote systems, and perform DDoS attacks and other malicious actions.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this malware']"
Adware,None,AndroidOS,Zapch,https://threats.kaspersky.com/en/threat/Adware.AndroidOS.Zapch/,"['Applications of this family show notifications on the lock screen; when the notifications are tapped, various applications are downloaded and installed.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this adware']"
Adware,None,Win32,Cydoor,https://threats.kaspersky.com/en/threat/Adware.Win32.Cydoor/,"['The program normally contains the following files:', 'The cd_clint.dll file provides the main functionality. The program is capable of working with P2P networks such as Kazaa and Imesh.', 'The program creates the following registry keys:', 'It works with the following Internet servers:', '(In all of these names, N will be replaced by a value between 1 and 4)', 'The list of servers contacted may be added to as the program runs.']"
DangerousObject,None,Multi,Generic,https://threats.kaspersky.com/en/threat/DangerousObject.Multi.Generic/,['Malicious software is detected by KL Cloud Technologies. This verdict used for samples which was not classified exactly.']
TrojWare,Trojan,Win32,GoHotList,https://threats.kaspersky.com/en/threat/Trojan.Win32.GoHotList/,"['This Trojan horse, when run, registers a porno Web site as the default page for', '\nInternet Explorer, and then displays a message box:', 'The Trojan does not manifest itself in any other way. The Trojan does not', '\nperform any harm to a computer, but it operates with Internet Explorer', '\nsettings without a user’s permission, and it forces Explorer to load a porno', '\nsite by default.  As a result, this program is Trojan horse.']"
Adware,None,Win32,DealPly,https://threats.kaspersky.com/en/threat/Adware.Win32.DealPly/,"['Adware of this family is installed on a PC during the process of installing other software. Once installed, it shows advertising pop-ups in web browsers. It also collects and transmits various marketing-related information about the user.', '\n', '* Percentage among all unique Kaspersky users worldwide attacked by this\xa0adware']"
